entry_index,entry_time,exit_index,exit_time,direction,pnl_pct,pnl_value,balance,exit_reason,trade_capital
223,2024-01-03 07:45:00,226,2024-01-03 08:30:00,short,-0.07915823768254768,-79158.23768254768,999920842.0629504,strategy_exit,1000000.0
230,2024-01-03 09:30:00,243,2024-01-03 12:45:00,short,0.19199999999999984,191999.99999999983,1000112826.0806886,take_profit,1000000.0
254,2024-01-03 15:30:00,256,2024-01-03 16:00:00,short,-0.017895271363389077,-17895.271363389078,1000094928.8458594,strategy_exit,1000000.0
258,2024-01-03 16:30:00,264,2024-01-03 18:00:00,short,-0.005560561388559476,-5560.561388559476,1000089367.762856,strategy_exit,1000000.0
270,2024-01-03 19:30:00,273,2024-01-03 20:15:00,short,-0.042036123559277924,-42036.12355927793,1000047328.0347806,strategy_exit,1000000.0
330,2024-01-04 10:30:00,333,2024-01-04 11:15:00,long,-0.04700881533249782,-47008.81533249783,1000000317.1666565,strategy_exit,1000000.0
338,2024-01-04 12:30:00,341,2024-01-04 13:15:00,long,-0.034465458881775116,-34465.458881775114,999965851.8187053,strategy_exit,1000000.0
343,2024-01-04 13:45:00,346,2024-01-04 14:30:00,long,-0.040016926513833324,-40016.92651383332,999925836.4027597,strategy_exit,1000000.0
349,2024-01-04 15:15:00,358,2024-01-04 17:30:00,long,0.04028079713316079,40280.79713316079,999966114.035414,strategy_exit,1000000.0
369,2024-01-04 20:15:00,376,2024-01-04 22:00:00,long,0.09355194587922493,93551.94587922492,1000059662.4210007,strategy_exit,1000000.0
387,2024-01-05 00:45:00,390,2024-01-05 01:30:00,long,-0.09130770203828581,-91307.7020382858,999968349.6205755,strategy_exit,1000000.0
394,2024-01-05 02:30:00,401,2024-01-05 04:15:00,long,0.01791266684537982,17912.66684537982,999986261.6328305,strategy_exit,1000000.0
450,2024-01-05 16:30:00,452,2024-01-05 17:00:00,short,-0.0815230544516591,-81523.0544516591,999904740.0084604,strategy_exit,1000000.0
518,2024-01-06 09:30:00,523,2024-01-06 10:45:00,short,-0.038214858651947826,-38214.85865194783,999866528.927002,strategy_exit,1000000.0
555,2024-01-06 18:45:00,564,2024-01-06 21:00:00,short,0.07109233065856098,71092.33065856098,999937611.4685616,strategy_exit,1000000.0
594,2024-01-07 04:30:00,602,2024-01-07 06:30:00,short,0.007508465521841981,7508.465521841981,999945119.4196104,strategy_exit,1000000.0
609,2024-01-07 08:15:00,618,2024-01-07 10:30:00,short,0.08056412833192693,80564.12833192693,1000025678.7882984,strategy_exit,1000000.0
628,2024-01-07 13:00:00,632,2024-01-07 14:00:00,short,-0.03034224324585522,-30342.24324585522,999995335.8712723,strategy_exit,1000000.0
645,2024-01-07 17:15:00,650,2024-01-07 18:30:00,short,-0.03465159525456455,-34651.59525456455,999960684.560243,strategy_exit,1000000.0
655,2024-01-07 19:45:00,668,2024-01-07 23:00:00,short,0.13137625211861784,131376.25211861785,1000092055.1057628,strategy_exit,1000000.0
680,2024-01-08 02:00:00,682,2024-01-08 02:30:00,short,-0.07721193345954029,-77211.93345954029,1000014836.3574253,strategy_exit,1000000.0
683,2024-01-08 02:45:00,687,2024-01-08 03:45:00,short,-0.044596175886200726,-44596.17588620073,999970239.6822813,strategy_exit,1000000.0
689,2024-01-08 04:15:00,698,2024-01-08 06:30:00,short,0.13882439564409163,138824.39564409162,1000109059.3751867,strategy_exit,1000000.0
713,2024-01-08 10:15:00,718,2024-01-08 11:30:00,short,0.044762796254069356,44762.796254069355,1000153826.8581706,strategy_exit,1000000.0
736,2024-01-08 16:00:00,742,2024-01-08 17:30:00,short,0.031275668983343614,31275.668983343618,1000185107.1970675,strategy_exit,1000000.0
757,2024-01-08 21:15:00,758,2024-01-08 21:30:00,short,-0.0175232172623688,-17523.217262368802,1000167580.7902346,strategy_exit,1000000.0
761,2024-01-08 22:15:00,764,2024-01-08 23:00:00,short,-0.03459061671091927,-34590.616710919276,1000132984.4991838,strategy_exit,1000000.0
